,date,close_price_usd,dow,week,rolling_3_day_average_closing_price_usd,rolling_7_day_average_closing_price_usd
0,2020-10-17,11274.24,5,2020-10-12,,
1,2020-10-16,11319.32,4,2020-10-12,,
2,2020-10-15,11505.12,3,2020-10-12,11366.226666666667,
3,2020-10-14,11417.89,2,2020-10-12,11414.11,
4,2020-10-13,11420.56,1,2020-10-12,11447.856666666667,
5,2020-10-12,11528.25,0,2020-10-12,11455.566666666666,
6,2020-10-11,11369.02,6,2020-10-05,11439.276666666667,11404.914285714287
7,2020-10-10,11293.22,5,2020-10-05,11396.830000000002,11407.625714285716
8,2020-10-09,11050.64,4,2020-10-05,11237.626666666669,11369.242857142859
9,2020-10-08,10925.57,3,2020-10-05,11089.810000000003,11286.450000000003
10,2020-10-07,10666.39,2,2020-10-05,10880.866666666669,11179.092857142861
11,2020-10-06,10599.66,1,2020-10-05,10730.540000000003,11061.821428571433
12,2020-10-05,10792.21,0,2020-10-05,10686.08666666667,10956.67285714286
13,2020-10-04,10666.63,6,2020-09-28,10686.16666666667,10856.331428571431
14,2020-10-03,10542.06,5,2020-09-28,10666.966666666669,10749.02285714286
15,2020-10-02,10570.4,4,2020-09-28,10593.03,10680.417142857144
16,2020-10-01,10619.13,3,2020-09-28,10577.196666666669,10636.640000000001
17,2020-09-30,10776.59,2,2020-09-28,10655.373333333337,10652.382857142858
18,2020-09-29,10840.48,1,2020-09-28,10745.400000000001,10686.785714285714
19,2020-09-28,10696.12,0,2020-09-28,10771.063333333337,10673.058571428572
20,2020-09-27,10774.25,6,2020-09-21,10770.283333333336,10688.432857142858
21,2020-09-26,10728.6,5,2020-09-21,10732.990000000003,10715.08142857143
22,2020-09-25,10686.67,4,2020-09-21,10729.840000000004,10731.69142857143
23,2020-09-24,10736.32,3,2020-09-21,10717.19666666667,10748.432857142858
24,2020-09-23,10241.46,2,2020-09-21,10554.816666666671,10671.985714285713
25,2020-09-22,10529.61,1,2020-09-21,10502.463333333339,10627.575714285715
26,2020-09-21,10417.22,0,2020-09-21,10396.096666666672,10587.732857142857
27,2020-09-20,10920.28,6,2020-09-14,10622.370000000004,10608.594285714285
28,2020-09-19,11080.65,5,2020-09-14,10806.050000000005,10658.887142857142
29,2020-09-18,10933.39,4,2020-09-14,10978.106666666672,10694.132857142857
30,2020-09-17,10939.99,3,2020-09-14,10984.676666666672,10723.228571428572
31,2020-09-16,10954.01,2,2020-09-14,10942.463333333339,10825.021428571428
32,2020-09-15,10785.31,1,2020-09-14,10893.103333333338,10861.55
33,2020-09-14,10671.77,0,2020-09-14,10803.696666666672,10897.914285714285
34,2020-09-13,10332.83,6,2020-09-07,10596.636666666673,10813.992857142857
35,2020-09-12,10440.92,5,2020-09-07,10481.840000000006,10722.602857142858
36,2020-09-11,10387.89,4,2020-09-07,10387.213333333339,10644.674285714285
37,2020-09-10,10336.87,3,2020-09-07,10388.560000000005,10558.514285714284
38,2020-09-09,10219.2,2,2020-09-07,10314.653333333341,10453.541428571427
39,2020-09-08,10126.65,1,2020-09-07,10227.573333333341,10359.447142857141
40,2020-09-07,10373.44,0,2020-09-07,10239.763333333342,10316.82857142857
41,2020-09-06,10256.2,6,2020-08-31,10252.096666666674,10305.881428571427
42,2020-09-05,10166.69,5,2020-08-31,10265.443333333338,10266.705714285712
43,2020-09-04,10446.25,4,2020-08-31,10289.713333333339,10275.042857142855
44,2020-09-03,10140.85,3,2020-08-31,10251.263333333338,10247.039999999999
45,2020-09-02,11388.54,2,2020-08-31,10658.54666666667,10414.088571428572
46,2020-09-01,11921.97,1,2020-08-31,11150.453333333338,10670.562857142859
47,2020-08-31,11649.51,0,2020-08-31,11653.340000000006,10852.858571428573
48,2020-08-30,11711.16,6,2020-08-24,11760.880000000006,11060.710000000003
49,2020-08-29,11465.84,5,2020-08-24,11608.836666666675,11246.302857142859
50,2020-08-28,11526.91,4,2020-08-24,11567.970000000008,11400.68285714286
51,2020-08-27,11330.38,3,2020-08-24,11441.04333333334,11570.615714285716
52,2020-08-26,11461.43,2,2020-08-24,11439.57333333334,11581.028571428573
53,2020-08-25,11318.42,1,2020-08-24,11370.07666666667,11494.807142857144
54,2020-08-24,11748.2,0,2020-08-24,11509.350000000004,11508.905714285716
55,2020-08-23,11648.13,6,2020-08-17,11571.583333333336,11499.901428571431
56,2020-08-22,11662.96,5,2020-08-17,11686.430000000002,11528.061428571431
57,2020-08-21,11531.34,4,2020-08-17,11614.143333333335,11528.694285714288
58,2020-08-20,11853.55,3,2020-08-17,11682.61666666667,11603.43285714286
59,2020-08-19,11754.59,2,2020-08-17,11713.160000000005,11645.312857142857
60,2020-08-18,11945.01,1,2020-08-17,11851.050000000008,11734.825714285715
61,2020-08-17,12281.13,0,2020-08-17,11993.576666666675,11810.958571428573
62,2020-08-16,11911.0,6,2020-08-10,12045.713333333342,11848.511428571428
63,2020-08-15,11852.4,5,2020-08-10,12014.843333333343,11875.574285714285
64,2020-08-14,11760.54,4,2020-08-10,11841.313333333344,11908.317142857142
65,2020-08-13,11780.0,3,2020-08-10,11797.646666666677,11897.81
66,2020-08-12,11564.33,2,2020-08-10,11701.623333333344,11870.630000000001
67,2020-08-11,11392.08,1,2020-08-10,11578.803333333344,11791.640000000001
68,2020-08-10,11892.92,0,2020-08-10,11616.443333333344,11736.18142857143
69,2020-08-09,11681.68,6,2020-08-03,11655.56000000001,11703.42142857143
70,2020-08-08,11761.41,5,2020-08-03,11778.670000000007,11690.42285714286
71,2020-08-07,11594.23,4,2020-08-03,11679.106666666674,11666.664285714289
72,2020-08-06,11762.46,3,2020-08-03,11706.03333333334,11664.158571428574
73,2020-08-05,11744.91,2,2020-08-03,11700.53333333334,11689.955714285717
74,2020-08-04,11191.97,1,2020-08-03,11566.446666666676,11661.368571428573
75,2020-08-03,11219.81,0,2020-08-03,11385.56333333334,11565.210000000003
